AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_CITATIONS,UPDATED
Erik Behrends,Rule-Based Active Domain Brokering for the Semantic Web,2007,"['E Behrends', ' O Fritzen', ' T Knabke', ' W May…']", … Conference on Web …,4.0,2022-04-07
Erik Behrends,"Specification of a model, language and architecture for reactivity and evolution",2005,"['JJ Alferes', ' R Amador', ' E Behrends', ' M Berndtsson', ' F Bry… ']",,4.0,2022-04-07
Peter Billen,[BOOK][B] Unsicherheit des Nachfragers bei Wiederholungskäufen: Ein informationsökonomischer und verhaltenswissenschaftlicher Ansatz,2003,['P Billen '],,53.0,2022-04-07
Peter Billen,Förderung der Mental Convenience beim Einkauf durch Cognitive Maps und kundenorientierte Produktgruppierungen,1996,"['FR Esch', ' P Billen']", Handelsforschung,43.0,2022-04-07
Peter Billen,Kundenbindung bei Commodities–Die Quadratur des Kreises?,2014,"['P Billen', ' T Raff']", Commodity Marketing,7.0,2022-04-07
Peter Billen,E-Procurement,2004,"['R Weiber', ' J Meyer', ' P Billen']", Handbuch Industriegütermarketing,5.0,2022-04-07
Peter Billen,Portfolioansätze im Zufriedenheitsmanagement,2012,"['T Raff', ' P Billen']", Marketing Review St. Gallen,2.0,2022-04-07
Peter Billen,Internet-Nutzungsverhalten: Vom Online-Surfer zum Online-Käufer,2003,"['R Weiber', ' P Billen']",,2.0,2022-04-07
Peter Billen,Kundenbindung bei Commodities–Die Quadratur des Kreises?,2011,"['P Billen', ' T Raff']", Commodity Marketing,1.0,2022-04-07
Peter Billen,Die Informationsökonomie als theoretische Grundlage zur Erklärung des Kaufentscheidungsverhaltens,2003,['P Billen'], Unsicherheit des Nachfragers bei …,,2022-04-07
Peter Billen,Lerntheoretische Ansätze als Erklärungsgröße für die Dynamik des Grades kognitiver Steuerung,2003,['P Billen'], Unsicherheit des Nachfragers bei …,,2022-04-07
Peter Billen,Die Bedeutung der Informationsökonomie für das Marketing,2003,['P Billen'], Unsicherheit des Nachfragers bei …,,2022-04-07
Peter Billen,Dynamik des Unsicherheitsreduktionsmix bei Folgekäufen,2003,['P Billen'], Unsicherheit des Nachfragers bei …,,2022-04-07
Peter Billen,Verhaltenswissenschaftliche Erkenntnisse zum Kaufentscheidungsverhalten,2003,['P Billen'], Unsicherheit des Nachfragers bei …,,2022-04-07
Peter Billen,Entwicklung eines erweiterten Netzwerkmodells zur Berücksichtigung von Beurteilungsproblemen,2003,['P Billen'], Unsicherheit des Nachfragers bei …,,2022-04-07
Peter Billen,Zusammenfassende Beurteilung der Forschungsergebnisse und Implikationen für Praxis und Forschung,2003,['P Billen'], Unsicherheit des Nachfragers bei …,,2022-04-07
Jürgen Brinkmann,The impact of intraoperative neuromonitoring (IONM) on surgical strategy in bilateral thyroid diseases: is it worth the effort?,2010,"['PE Goretzki', ' K Schwarz', ' J Brinkmann', ' D Wirowski…']", World journal of …,185.0,2022-04-07
Jürgen Brinkmann,Export and transport of tRNA are coupled to a multi-protein complex,2000,"['C KRUSE', ' DK WILLKOMM…']", Biochemical …,51.0,2022-04-07
Jürgen Brinkmann,Sesquiterpene lactone mix as a diagnostic tool for Asteraceae allergic contact dermatitis: chemical explanation for its poor performance and Sesquiterpene lactone …,2012,"['M Jacob', ' J Brinkmann', ' TJ Schmidt']", Contact dermatitis,18.0,2022-04-07
Jürgen Brinkmann,Determination of formaldehyde in formaldehyde‐releaser patch test preparations,2010,"['D Emeis', ' AC De Groot', ' J Brinkmann']", Contact Dermatitis,13.0,2022-04-07
Jürgen Brinkmann,[BOOK][B] Der Elektrounfall,2013,"['J Brinkmann', ' S Buntenkötter', ' V Carstens', ' HH Egyptien… ']",,41.0,2022-04-07
Jürgen Brinkmann,Computer-Assisted Manufacturing of a Low Thermal Stress Gasturbine Inner Casing,1991,"['J Brinkmann', ' P Dietrich']", … Expo: Power for …,,2022-04-07
Jürgen Brinkmann,Der mit den Verdammten singt: Jonny Cash-Ikone des Kampfes zwischen Licht und Dunkelheit,2018,"['B Mrosko', ' J Brinkmann']", Stimmen der Zeit< Freiburg,,2022-04-07
Jürgen Brinkmann,[BOOK][B] Der Spur der Sehnsucht folgen: wie ignatianische Spiritualität und Schulseelsorge gelingen,2017,"['H Brandl', ' M Braun', ' J Brinkmann', ' S Dinkelborg', ' M Dölle… ']",,,2022-04-07
Jürgen Brinkmann,Walter Grab: Heinrich Heine als politischer Dichter (Book Review),1984,['J Brinkmann'],,,2022-04-07
Jürgen Brinkmann,Human Capital in der Rechnungslegung,1993,['J Brinkmann'], Internationale Wettbewerbsfähigkeit,,2022-04-07
Jürgen Brinkmann,"Ein Mann, der Marx Ideen gab. Demokrat der Paulskirche",1982,['J Brinkmann '],,,2022-04-07
Jürgen Brinkmann,Der genossenschaftliche Charakter der gewerblichen Bürgschaftsgemeinschaften,1971,['J Brinkmann'], Zeitschrift für das gesamte Genossenschaftswesen,,2022-04-07
Jürgen Brinkmann,Copyright (c) 2002 ProQuest Information and Learning Company,2002,['JBVT und Stunde '],,,2022-04-07
Wendy Fehlner,Educating for sustainability: The crucial role of the tertiary sector,2019,['W Fehlner'], Journal of Sustainable Development,6.0,2022-04-07
Wendy Fehlner,Educating for Sustainable Tourism: an Analysis of Degree Programmes in Sub Saharan Africa and Implications for Reform,2020,['WD Fehlner '],,,2022-04-07
Thomas Glökler,Variable Turnierpreise in Forced-Distribution-Systemen: Eine theoretische und empirische Analyse der Effekte auf die Zusammenarbeit in Teams,2018,['T Glökler '],,,2022-04-07
Thomas Glökler,Variable prizes in forced-distribution-systems: a sabotage-reducing approach?,2014,['T Glökler '],,,2022-04-07
Rudi Grunau,Designing bodywork vibration absorbers; Auslegung von Karosserie-Schwingungstilgern,1997,"['R Grunau', ' A Paul', ' M Heidrich', ' M Mueller']", Automobiltechnische Zeitschrift,2,2022-04-07
Christian Gruninger-Hermann,Zukunft der Innenstädte?,2017,['C Gruninger'],,2.0,2022-04-07
Christian Gruninger-Hermann,Zukunft der Innenstädte?-Auswirkungen zunehmender Online-Käufe auf den stationären Einzelhandel und die Innenstädte,2017,['C Gruninger'],,1.0,2022-04-07
Christian Gruninger-Hermann,Genussmomente in Lörrach,,['C Gruninger'],Hermann,,2022-04-07
Christian Gruninger-Hermann,Zukunft der Innenstädte?-Auswirkungen zunehmender Online-Käufe auf den stationären Einzelhandel und die Innenstädte,2017,['GH Christian '],,,2022-04-07
Eckhart Hanser,"Hybrid software and system development in practice: waterfall, scrum, and beyond",2017,"['M Kuhrmann', ' P Diebold', ' J Münch', ' P Tell…']", Proceedings of the …,193.0,2022-04-07
Eckhart Hanser,[BOOK][B] Agile Prozesse: Von XP über Scrum bis MAP,2010,['E Hanser '],,97.0,2022-04-07
Eckhart Hanser,Hybrid software development approaches in practice: a European perspective,2018,"['M Kuhrmann', ' P Diebold', ' J Munch', ' P Tell…']", IEEE …,76.0,2022-04-07
Eckhart Hanser,Manufacturing in times of digital business and Industry 4.0-The industrial Internet of things not only changes the world of manufacturing,2019,"['JM Olaf', ' E Hanser']", Advances in manufacturing engineering and materials,9.0,2022-04-07
Eckhart Hanser,Hybrid Software and System Development in Practice,2018,"['M Kuhrmann', ' P Diebold', ' J Münch', ' P Tell…']", Software Engineering …,4.0,2022-04-07
Eckhart Hanser,[BOOK][B] Projektmanagement und Vorgehensmodelle 2016,2016,"['M Engstler', ' M Fazal']",Baqaie,3.0,2022-04-07
Eckhart Hanser,Scrum,2010,['E Hanser'], Agile Prozesse: Von XP über Scrum bis MAP,2.0,2022-04-07
Eckhart Hanser,Erweiterung agiler Prozesse durch sozietäre Vorgehensbausteine,2012,['E Hanser'],,2.0,2022-04-07
Eckhart Hanser,Das Agile Manifest,2010,['E Hanser'], Agile Prozesse: Von XP über Scrum bis MAP,1.0,2022-04-07
Eckhart Hanser,Software-Prozessmodelle,2010,['E Hanser'], Agile Prozesse: Von XP über Scrum bis MAP,1.0,2022-04-07
Eckhart Hanser,Influence of local correlations on dynamical susceptibilities of electronic systems,1989,['E Hanser'], Physical Review B,1.0,2022-04-07
Eckhart Hanser,Wandel der Vorgehensmodelle im Zeitalter der digitalen Transformation-Warum IT-Projekte agil werden müssen,2019,['E Hanser'], Software Engineering and Software Management,,2022-04-07
Eckhart Hanser,SOFTWARE DEVELOPMENT PROCESSES,2019,"['M Kuhrmann', ' P Diebold', ' J Münch', ' P Tell', ' K Trektere… ']",,,2022-04-07
Eckhart Hanser,Software Management in turbulenter Umwelt–Warum IT-Projekte agil werden müssen!,,['E Hanser '],,,2022-04-07
Eckhart Hanser,Projektmanagement und Vorgehensmodelle 2018 (PVM2018),2018,"['M Mikusz', ' A Volland', ' M Engstler', ' FB Masud…']",,,2022-04-07
Eckhart Hanser,MAP–Meta Agile Process Model,2010,['E Hanser'], Agile Prozesse: Von XP über Scrum bis MAP,,2022-04-07
Eckhart Hanser,Crystal und Crystal Clear,2010,['E Hanser'], Agile Prozesse: Von XP über Scrum bis MAP,,2022-04-07
Eckhart Hanser,[BOOK][B] Projektmanagement und Vorgehensmodelle 2014-Soziale Aspekte und Standartisierung,2014,"['M Engstler', ' E Hanser', ' M Mikusz', ' G Herzwurm ']",,,2022-04-07
Eckhart Hanser,Extreme Programming (XP),2010,['E Hanser'], Agile Prozesse: Von XP über Scrum bis MAP,,2022-04-07
Eckhart Hanser,"Der Fachausschuss und die Fachgruppen WI-VM, WI-PM, WI-PrdM stellen sich vor",2013,"['T Spitta', ' G Herzwurm', ' E Hanser', ' O Linssen…']",,,2022-04-07
Eckhart Hanser,Rollenveränderung in der Agilen Software-Entwicklung: Das „Projektmanagement-Labor “der BA Lörrach,2008,['E Hanser'],,,2022-04-07
Eckhart Hanser,Experimentelles Software-Engineering im studentischen Labor,2010,['E Hanser'], Agile Prozesse: Von XP über Scrum bis MAP,,2022-04-07
Eckhart Hanser,[BOOK][B] Vorgehensmodelle 2013,2013,"['E Hanser', ' M Mikusz', ' M Fazal']",,,2022-04-07
Eckhart Hanser,Warum IT-Projekte agil werden müssen!,,['E Hanser '],,,2022-04-07
Winfried Heinzler,[BOOK][B] GeoLex: Kurzlehrbuch und Geographie-Lexikon für den Tourismus,2018,"['H Bartl', ' HR Lang', ' H Eck', ' W Heinzler ']",,1,2022-04-07
Antje Hempel,Regulation of apical growth and hyphal branching in Streptomyces,2012,"['K Flärdh', ' DM Richards', ' AM Hempel', ' M Howard…']", Current opinion in …,94.0,2022-04-07
Antje Hempel,Assemblies of DivIVA Mark Sites for Hyphal Branching and Can Establish New Zones of Cell Wall Growth in Streptomyces coelicolor,2008,"['AM Hempel', ' S Wang', ' M Letek', ' JA Gil…']", Journal of …,132.0,2022-04-07
Antje Hempel,The Ser/Thr protein kinase AfsK regulates polar growth and hyphal branching in the filamentous bacteria Streptomyces,2012,"['AM Hempel', ' S Cantlay', ' V Molle…']", Proceedings of the …,107.0,2022-04-07
Antje Hempel,[HTML][HTML] Precise timing of transcription by c-di-GMP coordinates cell cycle and morphogenesis in Caulobacter,2020,"['A Kaczmarczyk', ' AM Hempel', ' C von Arx', ' R Böhm…']", Nature …,17.0,2022-04-07
Antje Hempel,[HTML][HTML] Mechanistic basis of branch-site selection in filamentous bacteria,2012,"['DM Richards', ' AM Hempel', ' K Flärdh…']", PLoS computational …,47.0,2022-04-07
Antje Hempel,Determination of Phosphorylation Sites in the DivIVA Cytoskeletal Protein of Streptomyces coelicolor by Targeted LC–MS/MS,2013,"['G Saalbach', ' AM Hempel', ' M Vigouroux…']", Journal of proteome …,12.0,2022-04-07
Antje Hempel,Early treatment modifications improve chemotherapy adherence in ovarian cancer patients≥ 70 years,2019,"['T Heilmann', ' J Pfisterer', ' AM Hempel', ' S Saß…']", Gynecologic …,2.0,2022-04-07
Antje Hempel,Precise transcription timing by a second-messenger drives a bacterial G1/S cell cycle transition,2019,"['A Kaczmarczyk', ' AM Hempel', ' C von Arx', ' R Böhm…']", bioRxiv,2.0,2022-04-07
Antje Hempel,Establishment and regulation of polar growth in Streptomyces,2012,['A Hempel '],,1.0,2022-04-07
Antje Hempel,Altersspezifische Prognosefaktoren für das Überleben bei älteren Patientinnen (> 70 Jahre) mit fortgeschrittenem Ovarialkarzinom unter Platin-Taxanhaltiger …,2013,['AM Hempel '],,,2022-04-07
Stefan Hess,"Large-scale solar water heating in South Africa: Status, barriers and recommendations",2016,"['EC Joubert', ' S Hess', ' JL Van Niekerk']",Renewable energy,41,2022-04-07
Stefan Hess,Renewable heating and cooling: technologies and applications,2015,['G Stryi-Hipp'],Elsevier,23,2022-04-07
Stefan Hess,Solar thermal process heat in fishmeal production: Prospects for two South African fishmeal factories,2020,"['D Oosthuizen', ' NJ Goosen', ' S Hess']",Journal of Cleaner Production,14,2022-04-07
Stefan Hess,Solar thermal process heat (SPH) generation,2016,['S Hess'],Renewable Heating and Cooling,11,2022-04-07
Stefan Hess,Solar process heat-System design for selected low-temperature applications in the industry,2011,"['S Hess', ' A Oliva', ' M Hermann', ' G Stryi-Hipp', ' V Hanby']",Solar World Congress,8,2022-04-07
Stefan Hess,Solar process heat for production and advanced applications,2015,"['IB Hassine', ' A Helmke', ' S Heß', ' P Krummenacher', ' B Muster', ' B Schmitt', ' ...']",IEA SHC Task,7,2022-04-07
Stefan Hess,Collector simulation model with dynamic incidence angle modifier for anisotropic diffuse irradiance,2014,"['S Hess', ' VI Hanby']",Energy Procedia,7,2022-04-07
Stefan Hess,Initial Study on Solar Process Heat for Sout African Sugar Mills,2016,"['S Hess', ' H Beukes', ' F Dinter', ' G Smith']",South African Sugar Technologists' Association Congress,6,2022-04-07
Stefan Hess,Solar process heat for production and advanced applications,2015,"['B Muster', ' I Ben Hassine', ' A Helmke', ' S Heß', ' P Krummenacher', ' B Schmitt', ' ...']",Integration Guideline; IEA SHC Task,6,2022-04-07
Stefan Hess,"Low-concentrating, stationary solar thermal collectors for process heat generation",2014,['S Hess'],De Montfort University,6,2022-04-07
Stefan Hess,Elektromobilität. Herausforderungen für Industrie und öffentliche Hand,2010,"['L Cheng', ' S Fritz', ' C Hahn', ' S Heß', ' DU Krüger', ' N Thoma']",Frankfurt am Main: Fraunhofer IAO und Pricewaterhouse Coopers,6,2022-04-07
Stefan Hess,Guide to Solar Thermal System Design for Selected Industrial Processes,2010,"['S Heß', ' A Oliva']",Linz. www. solar-process-heat. eu/guide,6,2022-04-07
Stefan Hess,Solar Process Heat for Production and Advanced Applications: Integration Guideline,2015,"['B Muster', ' I Ben Hassine', ' A Helmke', ' S Heß', ' P Krummenacher', ' B Muster', ' ...']",IEA SHC Task Task,5,2022-04-07
Stefan Hess,SO-PRO Solar Process Heat; Solar Process Heat Generation: Guide to Solar Thermal System Design for Selected Industrial Processes,2010,"['S Heß', ' A Oliva']",OÖ Energiesparverband: Linz,4,2022-04-07
Stefan Hess,Concentrating solar collectors for process heat up to 250 C and small scale CSP–Integrated optical design for improved performance,2010,"['A Heimsath', ' P Nitz', ' S Heß']",,3,2022-04-07
Stefan Hess,Concentrating solar collectors for process heat and electricity generation,2009,"['A Heimsath', ' W Platzer', ' S Heß', ' D Krüger', ' M Eck']",FVEE. AEE,3,2022-04-07
Stefan Hess,Gezielter Heizkörper-Austausch in Wärmepumpen-Heizungsanlagen,2019,"['M Lämmle', ' J Wapler', ' M Kropp', ' S Hess', ' D Hahn', ' G David', ' S Herkel']",DKV-Tagung,2,2022-04-07
Stefan Hess,Stationary booster reflectors for solar thermal process heat generation,2015,['S Hess'],Southern African Solar Energy Conference,2,2022-04-07
Stefan Hess,Solar Heat for Industrial Processes: RefleC-Collector Development and System Design,2010,"['S Hess', ' A Oliva', ' P Di Lauro', ' M Klemke', ' M Hermann', ' G Kramp', ' ...']",EuroSun,2,2022-04-07
Stefan Hess,Konzentrierende solare Kollektoren für Prozesswärme und Stromerzeugung,2009,"['A Heimsath', ' W Platzer', ' S Heß', ' D Krüger', ' M Eck']",Forschen für globale Märkte erneuerbarer Energien,2,2022-04-07
Stefan Hess,Application of medium temperature collectors for solar air-conditioning,2007,['S Hess'],,2,2022-04-07
Stefan Hess,Performance of air and ground source heat pumps retrofitted to radiator heating systems and measures to reduce space heating temperatures in existing buildings,2022,"['M Lämmle', ' C Bongs', ' J Wapler', ' D Günther', ' S Hess', ' M Kropp', ' S Herkel']",Energy,1,2022-04-07
Stefan Hess,"Smart Urban Energy Concept: Integration of Heat Pumps, PV, Cogeneration, and District Heating in existing Multi-Family Buildings",2020,"['M Lämmle', ' S Hess', ' S Herkel']",Eurosun,1,2022-04-07
Stefan Hess,Ambient Heat Source Availability for Low-Ex Heating of Multi-Family Buildings,2019,"['S Hess', ' R Vollmer', ' J Wapler', ' M Kleinstück', ' C Bongs', ' HM Henning']",Proceedings of the ISES Solar World Congress,1,2022-04-07
Stefan Hess,Solar live steam generation and solar bagasse drying for South African sugar mills.,2018,['W Krog'],Stellenbosch: Stellenbosch University,1,2022-04-07
Stefan Hess,Wärmepumpen-Systeme im Mehrfamilienhaus-Bestand,2018,"['J Wapler', ' S Hess', ' M Kleinstück', ' F Ohr', ' C Bongs']",,1,2022-04-07
Stefan Hess,Modeling of Solar Process Heat Systems in an Opern Source Simulation Environment,2016,"['C Ilchmann', ' M Klatt', ' S Hess']",Cottbus: Brandenburgische Technische Universität,1,2022-04-07
Stefan Hess,Solar Process Heat for South African Sugar Mills,2016,"['S Hess', ' HT Beukes', ' G Smith', ' F Dinter']",,1,2022-04-07
Stefan Hess,Key action fields for nearly carbon-neutral districts: stakeholder-specific strategies and practice,2020,"['S Hess', ' D Kreulitsch', ' IK Rizaoglu', ' A Honold', ' M Schmid', ' M Stobbe', ' ...']",IOP Conference Series: Earth and Environmental Science,,2022-04-07
Stefan Hess,Integration Guideline,2015,"['IB Hassine', ' A Helmke', ' S Heß', ' P Krummenacher', ' B Muster', ' B Schmitt', ' ...']",,,2022-04-07
Stefan Hess,Flat plate collector with external reflectors (RefleC). Experiences withthe development; Flachkollektor mit externen Reflektoren (RefleC). Entwicklungserfahrungen,2010,"['S Hess', ' A Oliva', ' P Di Lauro', ' M Klemke', ' M Hermann', ' G Stryi-Hipp', ' ...']",,,2022-04-07
Stefan Hess,New performance testing stand for the characterization of innovative collectors and optical components; Neuer Leistungsteststand zur Charakterisierung innovativer Kollektoren …,2010,"['S Fahr', ' A Schaefer', ' S Mehnert', ' K Kramer', ' S Hess', ' C Thoma', ' J Richter', ' ...']",,,2022-04-07
Stefan Hess,Techno-ökonomische und ökologische Perspektiven für Wärmepumpen im Mehrfamilienhaus-Bestand,,"['S Hess', ' K Scharf', ' J Wapler', ' C Bongs', ' R Vollmer', ' L Koch', ' M Obid', ' ...']",,,2022-04-07
Stefan Hess,Performance of Heat Pumps Retrofitted to Radiator Heating Systems in Existing Buildings and Measures to Reduce Space Heating Temperatures,,"['M Lämmle', ' C Bongs', ' J Wapler', ' D Günther', ' S Hess', ' M Kropp', ' S Herkel']",Available at SSRN,,2022-04-07
Stefan Hess,Disruptive Technologies to Decarbonize Building Energy Systems,,"['M Schmid', ' S Hess']",,,2022-04-07
Stefan Hess,Einfluss der Trinkwarmwasser-Systemvariante auf die Performance von Wärmepumpen in Mehrfamilienhäusern,,"['M Kropp', ' O Hörnle', ' S Hess', ' J Wapler', ' M Lämmle']",,,2022-04-07
Stefan Hess,Solar Live Steam Generation for South African Sugar Mills,,"['W Krog', ' S Hess', ' J Hoffmann', ' F Dinter']",,,2022-04-07
Stefan Hess,Open Source Modeling of Solar Process Heat Systems,,"['C Ilchmann', ' S Hess', ' M Klatt']",,,2022-04-07
Stefan Hess,2 Collector Description,,"['S Heß', ' M Rommel']",Process Heat Collectors,,2022-04-07
Stefan Hess,2.3 CPC Collectors,,"['MC Pereira', ' S Heß']",Process Heat Collectors,,2022-04-07
Gerhard Jäger,Game theory and pragmatics,2005,"['A Benz', ' G Jäger', ' R Van Rooij', ' R Van Rooij']",Springer,203,2022-04-07
Gerhard Jäger,Topic‐comment structure and the contrast between stage level and individual level predicates,2001,['G Jäger'],Journal of Semantics,203,2022-04-07
Gerhard Jäger,Maximum entropy models and stochastic Optimality Theory,2007,['G Jäger'],Architectures,160,2022-04-07
Gerhard Jäger,Formal language theory: refining the Chomsky hierarchy,2012,"['G Jäger', ' J Rogers']",Philosophical Transactions of the Royal Society B: Biological Sciences,152,2022-04-07
Gerhard Jäger,Anaphora and type logical grammar,2005,['J Gerhard'],Springer Science & Business Media,148,2022-04-07
Gerhard Jäger,Evolutionary game theory and typology: A case study,2007,['G Jäger'],Language,145,2022-04-07
Gerhard Jäger,Some notes on the formal properties of bidirectional optimality theory,2002,['G Jäger'],Journal of Logic,134,2022-04-07
Gerhard Jäger,The winner takes it all—almost: Cumulativity in grammatical variation,2006,"['G Jäger', ' A Rosenbach']",Walter de Gruyter,125,2022-04-07
Gerhard Jäger,Learning constraint subhierarchies: The bidirectional gradual learning algorithm,2004,['G Jäger'],Optimality theory and pragmatics,124,2022-04-07
Gerhard Jäger,"Probabilistic pragmatics, or why Bayes’ rule is probably important for pragmatics",2016,"['M Franke', ' G Jäger']",Zeitschrift für sprachwissenschaft,121,2022-04-07
Gerhard Jäger,Applications of game theory in linguistics,2008,['G Jäger'],Language and Linguistics compass,112,2022-04-07
Gerhard Jäger,An introduction to game theory for linguists,2006,"['A Benz', ' G Jäger', ' R Rooij']",Game theory and pragmatics,84,2022-04-07
Gerhard Jäger,Competition and interpretation: The German adverb wieder ‘again’,2003,"['G Jäger', ' R Blutner']",Modifying adjuncts,84,2022-04-07
Gerhard Jäger,Voronoi languages: Equilibria in cheap-talk games with high-dimensional types and few signals,2011,"['G Jäger', ' LP Metzger', ' F Riedel']",Games and economic behavior,83,2022-04-07
Gerhard Jäger,The evolution of convex categories,2007,['G Jäger'],Linguistics and Philosophy,83,2022-04-07
Gerhard Jäger,Against lexical decomposition in syntax,2000,"['G Jäger', ' R Blutner']",Proceedings of IATL,82,2022-04-07
Gerhard Jäger,Priming and unidirectional language change,2008,"['G Jäger', ' A Rosenbach']",Walter de Gruyter GmbH & Co. KG,81,2022-04-07
Gerhard Jäger,Phylogenetic inference from word lists using weighted alignment with empirically determined weights,2014,['G Jäger'],Quantifying language dynamics,80,2022-04-07
Gerhard Jäger,Language structure: Psychological and social constraints,2007,"['G Jäger', ' R Van Rooij']",Synthese,80,2022-04-07
Gerhard Jäger,Game theory in semantics and pragmatics,2012,['G Jäger'],Semantics: An international handbook of natural language meaning,78,2022-04-07
Gerhard Jäger,Topics in dynamic semantics,1996,['G Jäger'],CIS,76,2022-04-07
Gerhard Jäger,Studying language change using price equation and Pólya-urn dynamics,2012,"['T Gong', ' L Shuai', ' M Tamariz', ' G Jäger']",PLoS one,68,2022-04-07
Gerhard Jäger,"Stage levels, states, and the semantics of the copula",1999,['G Jäger'],ZAS Papers in Linguistics,64,2022-04-07
Gerhard Jäger,Support for linguistic macrofamilies from weighted sequence alignment,2015,['G Jäger'],Proceedings of the National Academy of Sciences,61,2022-04-07
Gerhard Jäger,Natural color categories are convex sets,2010,['G Jäger'],Logic,61,2022-04-07
Gerhard Jäger,A reinterpretation of syntactic alignment,2002,"['H Zeevat', ' G Jäger']",Proceedings of the Fourth International Tbilisi Symposium on Language,59,2022-04-07
Gerhard Jäger,Game dynamics connects semantics and pragmatics,2007,['G Jager'],Game theory and linguistic meaning,55,2022-04-07
Gerhard Jäger,Cost-based pragmatic inference about referential expressions,2013,"['J Degen', ' M Franke', ' G Jager']",Proceedings of the annual meeting of the cognitive science society,52,2022-04-07
Gerhard Jäger,Pragmatic rationalizability,2009,"['G Jäger', ' C Ebert']",Proceedings of sinn und bedeutung,45,2022-04-07
Gerhard Jäger,The stage/individual contrast revisited,1996,['G Jäger'],Proceedings of WCCFL,45,2022-04-07
