AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_TYPE,PUB_ISBN,PUB_DOI,UPDATED
Joachim Grill,On permutations with second order separations between cascaded convolutional encoders,2002,"['Axel Huebner', 'Ralph Jordan', 'Joachim Grill']",,Conference Paper,,10.1109/ISIT.2002.1023756,2022-03-25
Joachim Grill,Zur Krümmungstheorie von Hüllflächen und ihrer Anwendung bei Werkzeugen und Verzahnungen /,2022,['Joachim. Grill'],,Article,,,2022-03-25
Joachim Grill,Line geometry and computation of gears,2022,['Joachim Grill'],,Article,,,2022-03-25
Jens Häcker,Online Model Predictive Motion Cueing With Real-Time Driver Prediction,2021,"['Alexander Lamprecht', 'Dennis Steffen', 'Katja Nagel', 'Knut Graichen']",IEEE Transactions on Intelligent Transportation Systems,Article,,10.1109/TITS.2021.3114003,2022-03-25
Jens Häcker,Potential der modellprädiktiven Regelung für Fahrsimulatoren,2021,"['Alexander Lamprecht', 'Dennis Steffen', 'Jens Haecker', 'Knut Graichen']",at - Automatisierungstechnik,Article,,10.1515/auto-2020-0090,2022-03-25
Jens Häcker,Optimal Control Based Reference Generation for Model Predictive Motion Cueing Algorithms,2019,"['Alexander Lamprecht', 'Dennis Steffen', 'Jens Haecker', 'Knut Graichen']",,Conference Paper,,10.1109/CCTA.2019.8920421,2022-03-25
Jens Häcker,Constrained Motion Cueing for Driving Simulators Using a Real-Time Nonlinear MPC Scheme,2018,"['Alexander Lamprecht', 'Jens Haecker', 'Knut Graichen']",,Conference Paper,,10.1109/IROS.2018.8594246,2022-03-25
Jens Häcker,Technical and experimental aspects of driving simulator studies: Towards Defining Operating Standards for Driving Simulators used in vehicle development,2018,"['Hannsjoerg Schmieder', 'Katja Nagel', 'Jens Haecker']",Driving Simulation Conference 2018 Europe,Poster,,10.13140/RG.2.2.24568.90886,2022-03-25
Jens Häcker,Robust manufacturing inspection and classification with machine vision,2002,"['Jens Haecker', 'Fredrik Engelhardt', 'Daniel D. Freyw']",International Journal of Production Research,Article,,10.1080/00207540110116309,2022-03-25
Jens Häcker,On neural network topology design for nonlinear control,2001,"['Jens Haecker', 'Stephan Rudolph']",Proceedings of SPIE - The International Society for Optical Engineering,Article,,10.1117/12.421173,2022-03-25
Jens Häcker,Scaling laws for biomimetic flapping wing robot experiments in fluids,2001,"['Jens Haecker', 'Fritz-Olaf Lehmann']",Workshop on Similarity Methods 2001,Conference Paper,,,2022-03-25
Olaf Herden,Architectural Patterns for Integrating Data Lakes into Data Warehouse Architectures,2020,['Olaf Herden'],,Chapter,,10.1007/978-3-030-66665-1_2,2022-03-25
Olaf Herden,TEACHING AND LEARNING ALGORITHMS WITH APPS,2019,['Olaf Herden'],11th International Conference on Education and New Learning Technologies,Conference Paper,,10.21125/edulearn.2019.2172,2022-03-25
Olaf Herden,TEACHING ALGORITHMIC THINKING TO UNDERGRADUATE STUDENTS,2018,['Olaf Herden'],,Conference Paper,,10.21125/inted.2018.1647,2022-03-25
Olaf Herden,Data Mining,2015,['Olaf Herden'],,Chapter,,10.3139/9783446440265.015,2022-03-25
Olaf Herden,Data Warehouse,2015,['Olaf Herden'],,Chapter,,10.3139/9783446440265.014,2022-03-25
Olaf Herden,Erfolgreich studieren. Vom Beginn bis zum Abschluss des Studiums.,2009,"['Frank Augustin', 'Hannah Bauhoff', 'Frank Beneke', 'Monika Wolff']",Springer,Book, 978-3-540-88824-6,,2022-03-25
Olaf Herden,"Aufbau eines Data Warehouse mit den Open-Source-Komponenten JPivot, Mondrian und MySQL - Alternative zu kommerziellen Produkten?",2005,"['Olaf Herden', 'Benjamin Pfrommer']",,Conference Paper,,,2022-03-25
Olaf Herden,Die ODAWA-Methodik für den Entwurf von Data-Warehouse-Datenbanken,2004,"['Olaf Herden', 'Arne Harren']",Informatik - Forschung und Entwicklung,Article,,10.1007/s00450-004-0169-1,2022-03-25
Olaf Herden,"Workshop des GI-Arbeitskreises ""Knowledge Discovery"" (AK KD).",2004,['Olaf Herden'],,Conference Paper,,,2022-03-25
Olaf Herden,"LWA 2004: Lernen - Wissensentdeckung - Adaptivität, Berlin, 4. - 6. Oktober 2004, Workshopwoche der GI-Fachgruppen/Arbeitskreise (1) Fachgruppe Adaptivität und Benutzermodellierung in Interaktiven Softwaresystemen (ABIS 2004), (2) Arbeitskreis Knowledge Discovery (AKKD 2004), (3) Fachgruppe Maschinelles Lernen (FGML 2004), (4) Fachgruppe Wissens- und Erfahrungsmanagement (FGWM 2004)",2004,"['Andreas Abecker', 'Steffen Bickel', 'Ulf Brefeld', 'Stephan Weibelzahl']",LWA,Conference Paper,,,2022-03-25
Olaf Herden,"Proceedings of the Workshops on Learning, Knowledge Discovery, and Adaptivity (LWA)",2004,"['Andreas Abecker', 'Steffen Bickel', 'Ulf Brefeld', 'Stephan Weibelzahl']",,Book,,,2022-03-25
Olaf Herden,TOLAP: Temporal Online Analytical Processing.,2002,['Olaf Herden'],,Conference Paper,,,2022-03-25
Olaf Herden,Tolap,2002,['Olaf Herden'],,Chapter,,10.1007/978-94-015-9978-8_5,2022-03-25
Olaf Herden,Parameterised Patterns for Conceptual Modelling of Data Warehouses,2001,['Olaf Herden'],,Chapter,,10.1007/978-94-015-9636-7_8,2022-03-25
Olaf Herden,A Design Methodology for Data Warehouses,2000,['Olaf Herden'],,Article,,,2022-03-25
Olaf Herden,Temporale Daten im Data Warehouse und Temporales OLAP.,1999,['Olaf Herden'],DBLP,Article,,,2022-03-25
Olaf Herden,Constructing Blended Learning and E-Learning Material for Higher Education,,['Olaf Herden'],,Article,,,2022-03-25
Olaf Herden,"Measuring Quality of Database Schemas by Reviewing-Concept, Criteria and Tool",,['Olaf Herden'],,Article,,,2022-03-25
Olaf Herden,Das spaltenorientierte MySQL-Plugin Infobright als Kern einer Open Source basierten Data-Warehouse- Infrastruktur,,"['Olaf Herden', 'Tobias Haller']",,Article,,,2022-03-25
Olaf Herden,Eine Entwurfsmethodik für data warehouses [Elektronische Ressource] /,,['Olaf Herden'],,Article,,,2022-03-25
Martin Hornberger,Discovery of highly potent heme-displacing IDO1 inhibitors based on a spirofused bicyclic scaffold,2020,"['Christoph Steeneck', 'Martin Hornberger', 'Olaf Kinzel', 'Simon Anderhub', 'Sheena Pinto']",Bioorganic & Medicinal Chemistry Letters,Article,,10.1016/j.bmcl.2020.127738,2022-03-25
Martin Hornberger,Discovery and Optimization of substituted Oxalamides as novel heme-displacing IDO1 Inhibitors,2020,"['Christoph Steeneck', 'Martin Hornberger', 'Olaf Kinzel', 'Simon Anderhub', 'Sheena Pinto']",Bioorganic & Medicinal Chemistry Letters,Article,,10.1016/j.bmcl.2020.127744,2022-03-25
Martin Hornberger,Discovery of Hydroxyamidine Based Inhibitors of IDO1 for Cancer Immunotherapy with Reduced Potential for Glucuronidation,2020,"['Christoph Steeneck', 'Martin Hornberger', 'Olaf Kinzel', 'Simon Anderhub', 'Sheena Pinto']",ACS Medicinal Chemistry Letters,Article,,10.1021/acsmedchemlett.9b00572,2022-03-25
Martin Hornberger,"FRI-303-How to develop a differentiated FXR agonist: GS-9674 shows a reduced side effect profile in mice, monkeys amd human phase 1 studies compared to its predecessor Px-102",2019,"['Eva Hambruch', 'Manfred Birkel', 'David Hollenback', 'John T. Liles', 'Olaf Kinzel']",Journal of Hepatology,Article,,10.1016/S0618-8278(19)31046-1,2022-03-25
Martin Hornberger,"Novel substituted isoxazole FXR agonists with cyclopropyl, hydroxycyclobutyl and hydroxyazetidinyl linkers: Understanding and improving key determinants of pharmacological properties",2016,"['Thomas Schlüter', 'Andreas Schulz', 'Christoph Steeneck', 'Olaf Kinzel', 'Christian Gege']",Bioorganic & Medicinal Chemistry Letters,Article,,10.1016/j.bmcl.2016.05.070,2022-03-25
Martin Hornberger,Renal fibrosis is the common feature of Autosomal Dominant Tubulointerstitial Kidney Diseases caused by mutations in mucin 1 or uromodulin.,2014,"['Arif B. Ekici', 'Thomas Hackenbeck', 'Vincent Morinière', 'Andrea Pannes', 'Maike Büttner']",Kidney International,Article,,10.1038/ki.2014.72,2022-03-25
Martin Hornberger,The nuclear bile acid receptor FXR controls the liver derived tumor suppressor Histidine-rich Glycoprotein,2014,"['Eva Hambruch', 'Ulrich Deuschle', 'Manfred Birkel', 'Martin Hornberger', 'Olaf Kinzel']",International Journal of Cancer,Article,,10.1002/ijc.29312,2022-03-25
Martin Hornberger,Epidemiology of autosomal-dominant polycystic kidney disease: An in-depth clinical study for south-western Germany,2013,"['Hartmut P. H. Neumann', 'Cordula Annette Jilg', 'Janina Bacher', 'Zinaida Nabulsi', 'Angelica Malinoc']",Nephrology Dialysis Transplantation,Article,,10.1093/ndt/gfs551,2022-03-25
Martin Hornberger,Synthesis and pharmacological validation of a novel series of non-steroidal FXR agonists,2010,"['Ulrich Abel', 'Thomas Schlüter', 'Andreas Schulz', 'Eva Hambruch', 'Christoph Steeneck']",Bioorganic & Medicinal Chemistry Letters,Article,,10.1016/j.bmcl.2010.06.084,2022-03-25
Martin Hornberger,Structure-Specificity Relationship of Cardiac Glycosides as a Substrate for Glucohydrolase II.,2000,"['Yukimasa Terada', 'Rumi MISOI', 'Naoharu Watanabe', 'Martin Hornberger', 'Wolfgang Kreis']",Chemical & Pharmaceutical Bulletin,Article,,10.1248/cpb.48.349,2022-03-25
Martin Hornberger,Purification and characterisation of the cardenolide-specific β-glucohydrolase CGH II from Digitalis lanata leaves,2000,"['Martin Hornberger', 'Ute Böttigheimer', 'Andrea Hillier-Kaiser', 'Wolfgang Kreis']",Plant Physiology and Biochemistry,Article,,10.1016/S0981-9428(00)01202-X,2022-03-25
Martin Hornberger,Aroma Evolution during Flower Opening in Rosa damascena Mill,1999,"['Noriaki Oka', 'Hisayoshi Ohishi', 'Tatsuya Hatano', 'Martin Hornberger', 'Kanzo Sakata']",Zeitschrift fur Naturforschung C,Article,,10.1515/znc-1999-1106,2022-03-25
Martin Hornberger,Digitale Korrekturplanung bei operativen Beinkorrekturen mit voll implantierbaren Distraktionsmarknägeln,2022,['Martin Hornberger'],,Article,,,2022-03-25
Martin Hornberger,Solar unterstützte Heizung und Kühlung von Gebäuden /,2022,['Martin. Hornberger'],,Article,,,2022-03-25
