AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_PUBLISHER,PUB_TYPE,PUB_ISBN,PUB_DOI,UPDATED
Friedrich Augenstein,How to incorporate expert knowledge into an authoring system,1993,"['Friedrich Augenstein', 'Thomas Ottmann', 'Jürgen Schöning']",,Conference Paper,,,2022-04-02
Friedrich Augenstein,Ein typ- und regelgesteuertes Autorensystem,1991,"['Friedrich Augenstein', 'Thomas Ottmann', 'Jürgen Schöning']",,Conference Paper,,10.1007/978-3-642-76698-5_3,2022-04-02
Friedrich Augenstein,Design- und Didaktikhilfen als vorimplementierte Modelle für den Lernsoftware-Entwurf,1991,"['Friedrich Augenstein', 'Thomas Jechle', 'Jürgen Schöning', 'Alexander Winter']",,Conference Paper,,10.1007/978-3-642-76982-5_27,2022-04-02
Friedrich Augenstein,Publikationen vor 2005,,['Friedrich Augenstein'],,Article,,,2022-04-02
Friedrich Augenstein,A system for integration of expert knowledge in authoring systems for hypermedial teaching software,,['Friedrich Augenstein'],,Article,,,2022-04-02
Friedrich Augenstein,Ein System zur Integration von Spezialistenwissen in Autorensysteme für hypermediale Lehrsoftware /,,['Friedrich Augenstein'],,Article,,,2022-04-02
Timo Baas,SSRN-id788344.pdf,2020,"['Mechthild Schrooten', 'Timo Baas']",,Data,,,2022-04-02
Timo Baas,The economic benefits of EU-13 membership,2020,['Timo Baas'],,Research,,10.13140/RG.2.2.28475.03368,2022-04-02
Timo Baas,Unionsbürgerinnen und -bürger in Deutschland - Eine Übersichtsstudie zu Vorteilen und Herausforderungen bei der Inanspruchnahme der Arbeitnehmerfreizügigkeit,2019,['Timo Baas'],,Book,,,2022-04-02
Timo Baas,Rücküberweisungen durch Migrantinnen und Migranten – Finanzmarktbezogene Gründe und wirtschaftliche Folgen,2018,['Timo Baas'],Vierteljahrshefte zur Wirtschaftsforschung,Article,,10.3790/vjh.87.3.151,2022-04-02
Timo Baas,"Oil price shocks, monetary policy and current account imbalances within a currency union",2018,"['Timo Baas', 'Ansgar H. Belke']",,Working Paper,,,2022-04-02
Timo Baas,"Oil Price Shocks, Monetary Policy and Current Account Imbalances within a Currency Union",2018,"['Timo Baas', 'Ansgar H. Belke']",SSRN Electronic Journal,Article,,10.2139/ssrn.3097370,2022-04-02
Timo Baas,Migration,2015,['Timo Baas'],,Chapter,,10.1007/978-3-658-01164-2_35,2022-04-02
Timo Baas,IE 2014 kaczmarczyk,2014,"['Mikkel Barslund', 'Matthias Busse', 'Paweł Kaczmarczyk', 'Béla Galgoczi']",,Data,,,2022-04-02
Timo Baas,"Intereconomics 2014 | 3 Labour Mobility in the EU: Dynamics, Patterns and Policies Too Much or Too Little Labour Mobility? State of Play and Policy Issues",2014,"['Mikkel Barslund', 'Matthias Busse', 'Paweł Kaczmarczyk', 'Béla Galgoczi']",Intereconomics,Article,,10.1007/s10272-014-0495-x,2022-04-02
Timo Baas,Estonia and the European Monetary Union Are There Benefits from a 'Late' Accession?,2014,['Timo Baas'],SSRN Electronic Journal,Article,,10.2139/ssrn.2471571,2022-04-02
Timo Baas,Labor Market Reforms and Current Account Imbalances - Beggar-Thy-Neighbor Policies in a Currency Union?,2014,"['Timo Baas', 'Ansgar H. Belke']",SSRN Electronic Journal,Article,,10.2139/ssrn.2561313,2022-04-02
Timo Baas,Labor Market Reforms and Current Account Imbalances: Beggar-Thy-Neighbor Policies in a Currency Union?,2014,"['Timo Baas', 'Ansgar H. Belke']",SSRN Electronic Journal,Article,,10.2139/ssrn.2502313,2022-04-02
Timo Baas,The macroeconomic consequences of migration diversion: Evidence for Germany and the UK,2012,['Timo Baas'],Structural Change and Economic Dynamics,Article,,10.1016/j.strueco.2012.01.001,2022-04-02
Timo Baas,The Macroeconomic Impact of Remittances: A sending country perspective,2012,"['Timo Baas', 'Silvia Maja Melzer']",,Article,,,2022-04-02
Timo Baas,Die wirtschaftliche Bedeutung der Arbeitnehmerfreizügigkeit aus deutscher Sicht,2012,['Timo Baas'],,Chapter,,10.5771/9783845242415-95,2022-04-02
Timo Baas,Migrationssteuerung vor dem Hintergrund individueller Verhaltensweisen von Migranten: Hohenheimer Tage zum Ausländerrecht 2011,2012,['Timo Baas'],,Chapter,,10.5771/9783845237091-229,2022-04-02
Timo Baas,Macroeconomic Effects of Remittances and Temporary Migration,2011,"['Timo Baas', 'Silvia Maja Melzer']",,Article,,,2022-04-02
Timo Baas,EU Eastern Enlargement: The Benefits from Integration and Free Labour Movement,2011,"['Timo Baas', 'Herbert Brücker']",CESifo DICE Report,Article,,,2022-04-02
Timo Baas,Arbeitnehmerfreizügigkeit zum 1. Mai 2011 : mehr Chancen als Risiken für Deutschland,2011,"['Timo Baas', 'Herbert Brücker']",,Book,,,2022-04-02
Timo Baas,"Unter welchen Bedingungen ist ein Beitritt zu einer Währungsunion optimal? : Eine Analyse stabilitätspolitischer Konsequenzen, statischer Effekte und wachstumstheoretischer Implikationen einer Osterweiterung der Europäischen Währungsunion",2010,['Timo Baas'],,Thesis,,,2022-04-02
Timo Baas,Macroeconomic impact of Eastern enlargement on Germany and UK. Evidence from a CGE model,2010,"['Timo Baas', 'Herbert Brücker']",Applied Economics Letters,Article,,10.1080/13504850701720098,2022-04-02
Timo Baas,"2. Labor Mobility in the Enlarged EU: Who Wins, Who Loses?",2010,"['Timo Baas', 'Herbert Brücker', 'Andreas Hauptmann']",10.1007/978-3-642-02242-5_2,Article,,10.1007/978-3-642-02242-5_2,2022-04-02
Timo Baas,Wirkungen der Zuwanderungen aus den neuen mittel- und osteuropäischen EU-Staaten auf Arbeitsmarkt und Gesamtwirtschaft : Expertise im Auftrag des Gesprächskreises Migration und Integration der Friedrich-Ebert-Stiftung,2010,"['Timo Baas', 'Herbert Brücker']",,Book,,,2022-04-02
Timo Baas,Labour mobility within the EU in the context of enlargement and the functioning of the transitional arrangements: final report,2009,"['Herbert Brücker', 'Timo Baas']",,Article,,,2022-04-02
Timo Baas,"Internationale Migration: Umfang, Qualifikationsstruktur und Arbeitsmarktwirkungen",2009,"['Herbert Brücker', 'Timo Baas', 'Matthias Winkler']",,Article,,,2022-04-02
Timo Baas,EU-Osterweiterung : positive Effekte durch Arbeitsmigration,2009,"['Herbert Brücker', 'Timo Baas']",,Article,,,2022-04-02
Timo Baas,The macroeconomic consequences of labour mobility,2009,"['Timo Baas', 'Herbert Brücker']",,Book,,,2022-04-02
Timo Baas,Labour mobility within the EU in the context of enlargement and the functioning of transitional arrangements (VC/2007/0239): First and Second Interim Report-European Commision,2008,"['Herbert Brückner', 'Timo Baas', 'Iskra Spasova Beleva', 'Peter Huber']",,Technical Report,,,2022-04-02
Timo Baas,Macroeconomic consequences of migration diversion: A CGE simulation for Germany and the UK,2008,"['Timo Baas', 'Herbert Brücker']",,Article,,,2022-04-02
Timo Baas,Macroeconomic consequences of migration diversion : a CGE simulation for Germany and the UK,2008,"['Timo Baas', 'Herbert Brücker']",RePEc,Article,,,2022-04-02
Timo Baas,‘Relationship Banking and SMEs: A Theoretical Analysis’,2006,"['Mechthild Schrooten', 'Timo Baas']",Small Business Economics,Article,,10.2139/ssrn.788344,2022-04-02
Timo Baas,Die Disparität der Sparquoten Ost- und Westdeutschlands: Kann der spezifische ostdeutsche Transformationsprozess die Abweichung erklären?,2006,['Timo Baas'],Vierteljahrshefte zur Wirtschaftsforschung,Article,,10.3790/vjh.75.4.121,2022-04-02
Timo Baas,Theoretische Analyse der Gewinnsituation im deutschen Bankensektor,2005,"['Timo Baas', 'Mechthild Schrooten']",RePEc,Article,,,2022-04-02
Timo Baas,The Eastern Enlargement of the EU - An Initial Assessment: Growing Imports to the New Member States from the Euro Zone,2005,"['Mechthild Schrooten', 'Timo Baas']",RePEc,Article,,,2022-04-02
Timo Baas,Erste Bilanz der EU-Osterweiterung: Importe der neuen Mitgliedsländer aus der Eurozone gewinnen an Bedeutung,2005,"['Mechthild Schrooten', 'Timo Baas']",RePEc,Article,,,2022-04-02
Timo Baas,Labour mobility within the EU in the context of enlargement and the functioning,,"['Timo Baas', 'Herbert Brücker', 'Andreas Hauptmann', 'Elke J. Jahn']",,Article,,,2022-04-02
Mario Babilon,Study of octupole correlations in rare earth nuclei /,2005,['Mario Babilon'],Einfluss schwacher elektromagnetischer Felder auf die circadiane Periodik des Menschen,Article,,,2022-04-02
Mandy Badermann,Online-Lehre während der COVID-19-Pandemie: Die Perspektive der Lehrenden,2021,"['Ingo S. Hettler', 'Mandy Badermann', 'Thomas Meyer', 'Ernst Deuer']",,Research,,,2022-04-02
Mandy Badermann,Does negatively toned language use on social media lead to attitude polarization?,2021,"['Jürgen Buder', 'Lisa Rabl', 'Markus Feiks', 'Guido Zurstiege']",Computers in Human Behavior,Article,,10.1016/j.chb.2020.106663,2022-04-02
Mandy Badermann,Online-Lehre während der COVID-19-Pandemie: Die studentische Perspektive,2021,"['Valeska Gerstung', 'Ingo S. Hettler', 'Mandy Badermann', 'Thomas Meyer']",,Research,,10.13140/RG.2.2.19342.69444,2022-04-02
Mandy Badermann,Does Negatively Toned Language Use on Social Media Lead to Attitude Polarization?,2020,"['Jürgen Buder', 'Lisa Rabl', 'Markus Feiks', 'Guido Zurstiege']",,Preprint,,10.31234/osf.io/dx9ws,2022-04-02
